"N_cells"	"ID"	"ParentID"	"Birth_time"	"type"	"mut_den"	"driver_genes"	"passenger_genes"	"PointMut_ID"	"CNA_ID"	"order"
"1"	"1256"	"127"	"64"	0	0.5	"1 0 0 1"	"1 0 0 0"	"213, 239"	"138"	"PIK3CA -> APC"
"3"	"1262"	"127"	"64"	0	0.5	"1 0 0 1"	"0 0 0 0"	"213, 239, 2299"	"0"	"PIK3CA -> APC -> PIK3CA"
"1"	"1277"	"171"	"64"	0	0.5	"1 0 0 1"	"1 0 0 0"	"213, 239, 293, 315"	"144"	"PIK3CA -> APC -> PIK3CA -> PIK3CA"
"1"	"1304"	"246"	"64"	0	0.5	"1 0 0 1"	"1 0 0 0"	"213, 239, 455, 2369"	"0"	"PIK3CA -> APC -> APC"
"4"	"1319"	"360"	"64"	0	0.5	"1 0 0 1"	"1 0 0 0"	"213, 239, 655, 2393"	"0"	"PIK3CA -> APC -> PIK3CA"
"5"	"1326"	"485"	"64"	0	0.5	"1 0 0 1"	"0 0 0 0"	"213, 239, 875"	"151"	"PIK3CA -> APC -> APC -> APC"
"1"	"1329"	"631"	"64"	0	0.75	"1 0 1 1"	"0 1 0 0"	"213, 239, 455, 739, 1153, 2411"	"0"	"PIK3CA -> APC -> APC -> PIK3CA -> TP53"
"2"	"1364"	"127"	"65"	0	0.5	"1 0 0 1"	"0 0 0 0"	"213, 239, 2477"	"0"	"PIK3CA -> APC -> APC"
"2"	"1421"	"207"	"65"	0	0.75	"1 0 1 1"	"0 0 0 0"	"213, 239, 383, 2583"	"0"	"PIK3CA -> APC -> PIK3CA -> TP53"
"2"	"1431"	"208"	"65"	0	0.5	"1 0 0 1"	"0 0 0 0"	"213, 239, 385, 2601"	"0"	"PIK3CA -> APC -> PIK3CA -> PIK3CA"
"2"	"1438"	"246"	"65"	0	0.5	"1 0 0 1"	"1 0 0 0"	"213, 239, 455, 2615"	"0"	"PIK3CA -> APC -> APC"
"1"	"1448"	"271"	"65"	0	0.5	"1 0 0 1"	"0 0 0 0"	"213, 239, 385, 493, 2633"	"0"	"PIK3CA -> APC -> PIK3CA -> PIK3CA -> APC"
"1"	"1453"	"335"	"65"	0	0.5	"1 0 0 1"	"0 0 0 0"	"213, 239, 293, 611, 2643"	"0"	"PIK3CA -> APC -> PIK3CA -> APC -> APC"
"2"	"1457"	"406"	"65"	0	0.75	"1 0 1 1"	"0 0 0 0"	"213, 239, 353, 367, 735, 2649"	"0"	"PIK3CA -> APC -> APC -> APC -> APC -> TP53"
"1"	"1462"	"771"	"65"	0	0.5	"1 0 0 1"	"1 0 0 1"	"213, 239, 385, 1405, 2659"	"0"	"PIK3CA -> APC -> PIK3CA"
"3"	"1471"	"1227"	"65"	0	0.5	"1 0 0 1"	"0 0 0 1"	"213, 239, 2681"	"132"	"PIK3CA -> APC -> APC"
"1"	"1559"	"207"	"66"	0	0.5	"1 0 0 1"	"1 0 0 0"	"213, 239, 383"	"177"	"PIK3CA -> APC -> PIK3CA"
"2"	"1570"	"246"	"66"	0	0.5	"1 0 0 1"	"0 0 0 0"	"213, 239, 455, 2859"	"0"	"PIK3CA -> APC -> APC -> APC"
"15775"	"1582"	"332"	"66"	1	1	"1 1 1 1"	"0 0 0 0"	"213, 239, 607, 2881"	"0"	"PIK3CA -> APC -> TP53 -> KRAS"
"10"	"1601"	"742"	"66"	0	0.75	"1 0 1 1"	"0 0 0 0"	"213, 239, 1349, 2919"	"0"	"PIK3CA -> APC -> APC -> TP53"
"2"	"1620"	"127"	"67"	0	0.5	"1 0 0 1"	"0 0 0 0"	"213, 239, 2951"	"0"	"PIK3CA -> APC -> APC"
"5"	"1632"	"127"	"67"	0	0.5	"1 0 0 1"	"0 0 0 0"	"213, 239, 2973"	"0"	"PIK3CA -> APC -> APC"
"1"	"1661"	"127"	"67"	0	0.5	"1 0 0 1"	"0 0 0 0"	"213, 239, 3025"	"0"	"PIK3CA -> APC -> APC"
